id | itemId | item.type/sub | name | price | limit | order | is_hide_before | before_buy | is_sold_out_hide
54 |  9000 | 9/ | 相册扩容·29 |  3000 | 1 | 51 | 1 | ['shop', '53'] | 1
55 |  9000 | 9/ | 相册扩容·30 |  2000 | 1 | 52 | 1 | ['shop', '54'] | 1
56 |  9001 | 9/ | 动态相框·1 |  3000 | 1 | 201 | 0 | [] | 1
57 |  9002 | 9/ | 照片存储开启物 |   500 | 0 | 200 | 0 | [] | 0
58 |  9001 | 9/ | 动态相框·2 |  3000 | 1 | 202 | 1 | ['shop', '56'] | 0
59 |  9000 | 9/ | 相册扩容·31 |  1500 | 1 | 53 | 1 | ['shop', '55'] | 1
60 |  9000 | 9/ | 相册扩容·32 |  1250 | 1 | 54 | 1 | ['shop', '59'] | 1
61 |  9000 | 9/ | 相册扩容·33 |  1000 | 1 | 55 | 1 | ['shop', '60'] | 1
62 |  9000 | 9/ | 相册扩容·34 |  1250 | 1 | 56 | 1 | ['shop', '61'] | 1
63 |  9000 | 9/ | 相册扩容·35 |  1500 | 1 | 57 | 1 | ['shop', '62'] | 0
